페이지,종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
5,LG전자,"76,200",상승200,+0.26%,"268,217","20,396","124,700"
5,포스코퓨처엠,"156,900","상승25,700",+19.59%,"4,255,832","656,185","121,540"
5,SK텔레콤,"56,000",하락400,-0.71%,"525,083","29,522","120,282"
5,미래에셋증권,"20,700",하락350,-1.66%,"2,560,596","52,571","118,055"
5,하이브,"268,000","하락2,500",-0.92%,"147,303","39,479","111,628"
5,현대글로비스,"142,600",하락900,-0.63%,"120,226","17,048","106,950"
5,HD현대,"134,800","하락3,000",-2.18%,"178,891","24,351","106,483"
6,삼양식품,"1,402,000","하락82,000",-5.53%,"110,553","154,201","105,613"
6,유한양행,"132,000","하락3,800",-2.80%,"1,482,515","195,612","105,558"
6,한화시스템,"55,700",상승300,+0.54%,"702,906","38,984","105,228"
6,삼성전기,"138,700",상승900,+0.65%,"273,011","37,753","103,600"
6,효성중공업,"1,058,000",보합0,0.00%,"81,687","86,793","98,654"
6,DB손해보험,"137,700","하락3,800",-2.69%,"162,205","22,313","97,492"
6,두산,"590,000","상승10,000",+1.72%,"95,614","56,344","97,491"
6,대한항공,"25,950",하락250,-0.95%,"1,478,874","38,200","95,553"
6,포스코인터내셔널,"51,700",상승500,+0.98%,"680,170","35,444","90,952"
6,한국항공우주,"90,400",상승100,+0.11%,"237,712","21,346","88,117"
7,LS ELECTRIC,"286,500","상승9,500",+3.43%,"211,286","59,752","85,950"
7,한미반도체,"87,800",하락500,-0.57%,"329,941","29,051","83,684"
7,한국금융지주,"148,900","하락4,100",-2.68%,"402,787","59,589","82,976"
7,SK바이오팜,"103,000",하락100,-0.10%,"380,208","39,442","80,663"
7,한진칼,"120,000","하락2,000",-1.64%,"49,628","6,017","80,115"
7,HD현대미포,"200,000","상승4,100",+2.09%,"269,561","53,580","79,884"
7,HD현대마린솔루션,"178,000",하락800,-0.45%,"89,426","15,976","79,796"
7,카카오페이,"58,900","상승1,200",+2.08%,"3,192,776","190,565","79,510"
7,아모레퍼시픽,"135,600","하락2,100",-1.53%,"186,433","25,175","79,316"
7,현대건설,"70,900",상승300,+0.42%,"1,647,683","115,746","78,951"
8,코웨이,"106,500",상승400,+0.38%,"216,891","23,092","76,583"
8,NH투자증권,"21,750",하락450,-2.03%,"833,983","18,069","70,489"
8,S-Oil,"61,900",하락600,-0.96%,"208,026","12,837","69,689"
8,한화,"92,400",하락600,-0.65%,"213,587","19,622","69,262"
8,삼성증권,"74,600","하락1,200",-1.58%,"529,038","39,013","66,618"
8,LG유플러스,"14,990",하락10,-0.07%,"748,459","11,143","65,448"
8,에이피알,"170,000","하락7,800",-4.39%,"569,044","96,963","64,675"
8,삼성카드,"54,700","하락1,100",-1.97%,"60,506","3,316","63,375"
8,한화솔루션,"35,300",상승100,+0.28%,"2,404,216","86,438","60,678"
8,키움증권,"230,000","하락2,000",-0.86%,"111,527","25,308","59,907"
9,LS,"183,200",상승300,+0.16%,"127,654","23,208","58,990"
9,한국타이어앤테크놀로지,"46,350",상승700,+1.53%,"477,413","22,380","57,416"
9,두산밥캣,"56,300",상승200,+0.36%,"120,823","6,820","53,967"
9,넷마블,"61,200","상승1,200",+2.00%,"299,792","18,310","52,604"
9,LG생활건강,"330,500",하락500,-0.15%,"25,066","8,278","51,618"
9,삼성E&A,"25,600",상승200,+0.79%,"845,727","21,534","50,176"
9,BNK금융지주,"15,650",하락50,-0.32%,"1,283,225","19,969","49,827"
9,GS,"52,900","하락1,200",-2.22%,"408,340","21,690","49,152"
9,CJ,"164,100","하락3,500",-2.09%,"125,721","20,532","47,879"
9,현대제철,"34,800",하락350,-1.00%,"331,610","11,590","46,439"
10,JB금융지주,"23,750",하락450,-1.86%,"557,764","13,222","46,053"
10,LG디스플레이,"9,210",보합0,0.00%,"885,944","8,152","46,050"
10,오리온,"114,700",보합0,0.00%,"120,813","13,773","45,348"
10,엔씨소프트,"209,500","하락2,500",-1.18%,"61,982","12,919","45,135"
10,풍산,"160,800","하락4,200",-2.55%,"354,537","57,273","45,063"
10,강원랜드,"19,690",하락410,-2.04%,"811,251","15,997","42,125"
10,한국가스공사,"44,050",하락550,-1.23%,"348,827","15,319","40,664"
10,두산로보틱스,"61,500",상승200,+0.33%,"101,120","6,194","39,864"
10,포스코DX,"25,350","상승1,300",+5.41%,"4,098,953","105,135","38,541"
10,CJ제일제당,"254,500",보합0,0.00%,"67,509","16,976","38,313"
